,time[s],T1,T2/T3,pumpe
175,5.833358427256302,0.1,0.0875,0.01
176,5.86669190398348,0.1,0.0875,0.01
177,5.90002538071066,0.1,0.0875,0.01
178,5.933358857437838,0.1,0.0875,0.01
179,5.9666923341650175,0.1,0.0875,0.01
180,6.000025810892196,0.1,0.0875,0.01
181,6.0333592876193745,0.1,0.0875,0.01
182,6.066692764346554,0.1,0.0875,0.01
183,6.100026241073732,0.1,0.0875,0.01
184,6.133359717800912,0.1,0.0875,0.01
185,6.16669319452809,0.1,0.0875,0.01
186,6.200026671255269,0.1,0.0875,0.01
187,6.233360147982448,0.1,0.0875,0.01
188,6.266693624709627,0.1,0.0875,0.01
189,6.300027101436806,0.1,0.0875,0.01
190,6.333360578163985,0.1,0.0874,0.01
191,6.3666940548911635,0.1,0.0874,0.01
192,6.400027531618342,0.1,0.0874,0.01
193,6.433361008345521,0.1,0.0874,0.01
194,6.4666944850727,0.1,0.0874,0.01
195,6.500027961799879,0.1,0.0874,0.01
196,6.5333614385270575,0.1,0.0874,0.01
197,6.566694915254237,0.1,0.0871,0.01
198,6.600028391981415,0.1,0.0871,0.01
199,6.633361868708595,0.1,0.0871,0.01
200,6.666695345435773,0.1,0.0871,0.01
201,6.7000288221629525,0.1,0.0871,0.01
202,6.733362298890131,0.1,0.0871,0.01
203,6.76669577561731,0.1,0.0871,0.01
204,6.800029252344489,0.1,0.0871,0.01
205,6.833362729071667,0.1,0.0869,0.01
206,6.8666962057988465,0.1,0.0866,0.01
207,6.900029682526025,0.1,0.0866,0.01
208,6.933363159253204,0.1,0.0866,0.01
209,6.966696635980383,0.1,0.0866,0.01
210,7.000030112707562,0.1,0.0866,0.01
211,7.033363589434741,0.1,0.0866,0.01
212,7.06669706616192,0.1,0.0866,0.01
213,7.100030542889098,0.1,0.0866,0.01
214,7.133364019616278,0.1,0.0866,0.01
215,7.166697496343456,0.1,0.0866,0.01
216,7.2000309730706356,0.1,0.0866,0.01
217,7.233364449797814,0.1,0.0866,0.01
218,7.2666979265249925,0.1,0.0866,0.01
