Frequenz(ms);Kanal A(mV);Kanal B(V)
1,45407999;-73,13151000;5,08835100
1,45663999;-73,13151000;5,08835100
1,45919999;-71,30039000;5,08835100
1,46175999;-70,38484000;5,08835100
1,46431999;-71,30039000;5,08835100
1,46687999;-73,13151000;5,08835100
1,46943999;-71,30039000;5,17929600
1,47199999;-72,21595000;5,17929600
1,47455999;-72,21595000;5,17929600
1,47711999;-73,13151000;5,08835100
1,47967999;-70,38484000;5,17929600
1,48223999;-71,30039000;5,17929600
1,48479999;-70,38484000;5,08835100
1,48735999;-73,13151000;5,17929600
1,48991999;-74,04706000;5,17929600
1,49247999;-73,13151000;5,17929600
1,49503999;-72,21595000;5,08835100
1,49759999;-69,46928000;5,17929600
1,50015999;-72,21595000;5,17929600
1,50271999;-69,46928000;5,17929600
1,50527999;-73,13151000;5,17929600
1,50783999;-73,13151000;5,17929600
1,51039999;-73,13151000;5,17929600
1,51295999;-74,04706000;5,17929600
1,51551999;-72,21595000;5,17929600
1,51807999;-73,13151000;5,17929600
1,52063999;-73,13151000;5,17929600
1,52319999;-74,04706000;5,17929600
1,52575999;-73,13151000;5,17929600
1,52831999;-71,30039000;5,17929600
1,53087999;-69,46928000;5,17929600
1,53343999;-74,04706000;5,17929600
1,53599999;-75,87511000;5,17929600
1,53855999;-74,04706000;5,17929600
1,54111999;-73,13151000;5,17929600
1,54367999;-75,87511000;5,17929600
1,54623999;-73,13151000;5,17929600
1,54879999;-74,04706000;5,17929600
1,55135999;-74,95956000;5,17929600
1,55391999;-72,21595000;5,17929600
1,55647999;-75,87511000;5,17929600
1,55903999;-72,21595000;5,17929600
1,56159999;-75,87511000;5,17929600
1,56415999;-76,79067000;5,17929600
1,56671999;-73,13151000;5,17929600
1,56927999;-74,95956000;5,17929600
1,57183999;-72,21595000;5,17929600
1,57439999;-75,87511000;5,17929600
1,57695999;-74,95956000;5,27024100
1,57951999;-73,13151000;5,17929600
1,58207999;-72,21595000;5,27024100
1,58463999;-73,13151000;5,27024100
1,58719999;-74,04706000;5,17929600
1,58975999;-73,13151000;5,27024100
1,59231999;-74,95956000;5,17929600
1,59487999;-73,13151000;5,27024100
1,59743999;-74,95956000;5,36118700
1,59999999;-74,95956000;5,27024100
1,60255999;-73,13151000;5,36118700
1,60511999;-73,13151000;5,17929600
1,60767999;-74,95956000;5,27024100
1,61023999;-74,95956000;5,36118700
1,61279999;-74,04706000;5,36118700
1,61535999;-74,95956000;5,36118700
1,61791999;-76,79067000;5,27024100
1,62047999;-72,21595000;5,36118700
1,62303999;-73,13151000;5,36118700
1,62559999;-74,95956000;5,27024100
1,62815999;-74,04706000;5,36118700
1,63071999;-75,87511000;5,36118700
1,63327999;-74,04706000;5,36118700
1,63583999;-73,13151000;5,36118700
1,63839999;-75,87511000;5,36118700
1,64095999;-74,95956000;5,27024100
1,64351999;-74,95956000;5,36118700
1,64607999;-74,95956000;5,27024100
1,64863999;-75,87511000;5,36118700
1,65119999;-75,87511000;5,36118700
1,65375999;-74,04706000;5,36118700
1,65631999;-76,79067000;5,36118700
1,65887999;-74,04706000;5,36118700
1,66143999;-74,95956000;5,36118700
1,66399999;-74,04706000;5,36118700
1,66655999;-73,13151000;5,36118700
1,66911999;-73,13151000;5,36118700
1,67167999;-74,04706000;5,36118700
1,67423999;-75,87511000;5,36118700
1,67679999;-74,95956000;5,36118700
1,67935999;-75,87511000;5,36118700
1,68191999;-76,79067000;5,36118700
1,68447999;-75,87511000;5,36118700
1,68703999;-74,95956000;5,36118700
1,68959999;-80,45289000;5,36118700
1,69215999;-75,87511000;5,36118700
1,69471999;-74,95956000;5,36118700
1,69727999;-75,87511000;5,36118700
1,69983999;-74,04706000;5,36118700
1,70239999;-74,95956000;5,36118700
1,70495999;-74,95956000;5,36118700
1,70751999;-74,95956000;5,36118700
1,71007999;-76,79067000;5,36118700
1,71263999;-75,87511000;5,36118700
1,71519999;-76,79067000;5,36118700
1,71775999;-76,79067000;5,36118700
1,72031999;-73,13151000;5,36118700
1,72287999;-76,79067000;5,36118700
1,72543999;-75,87511000;5,36118700
1,72799999;-74,95956000;5,36118700
1,73055999;-73,13151000;5,36118700
1,73311999;-77,70623000;5,36118700
1,73567999;-74,95956000;5,36118700
1,73823999;-74,95956000;5,36118700
1,74079999;-74,95956000;5,36118700
1,74335999;-74,95956000;5,36118700
1,74591999;-76,79067000;5,36118700
1,74847999;-75,87511000;5,36118700
1,75103999;-74,04706000;5,45213200
1,75359999;-78,62179000;5,45213200
1,75615999;-78,62179000;5,45213200
1,75871999;-76,79067000;5,36118700
1,76127999;-74,95956000;5,36118700
1,76383999;-75,87511000;5,36118700
1,76639999;-76,79067000;5,45213200
1,76895999;-74,95956000;5,36118700
1,77151999;-75,87511000;5,36118700
1,77407999;-74,95956000;5,45213200
1,77663999;-76,79067000;5,45213200
1,77919999;-74,95956000;5,45213200
1,78175999;-73,13151000;5,45213200
1,78431999;-77,70623000;5,45213200
1,78687999;-73,13151000;5,45213200
1,78943999;-76,79067000;5,45213200
1,79199999;-76,79067000;5,45213200
1,79455999;-76,79067000;5,45213200
1,79711999;-76,79067000;5,36118700
1,79967999;-76,79067000;5,45213200
1,80223999;-78,62179000;5,45213200
1,80479999;-79,53734000;5,36118700
1,80735999;-76,79067000;5,45213200
1,80991999;-76,79067000;5,45213200
1,81247999;-76,79067000;5,45213200
1,81503999;-75,87511000;5,45213200
1,81759999;-79,53734000;5,45213200
1,82015999;-78,62179000;5,45213200
1,82271999;-76,79067000;5,45213200
1,82527999;-77,70623000;5,45213200
1,82783999;-80,45289000;5,45213200
1,83039999;-76,79067000;5,45213200
1,83295999;-75,87511000;5,45213200
1,83551999;-75,87511000;5,45213200
1,83807999;-77,70623000;5,45213200
1,84063999;-74,95956000;5,45213200
1,84319999;-74,95956000;5,45213200
1,84575999;-75,87511000;5,45213200
1,84831999;-74,04706000;5,45213200
1,85087999;-75,87511000;5,45213200
1,85343999;-76,79067000;5,45213200
1,85599999;-75,87511000;5,45213200
1,85855999;-76,79067000;5,45213200
1,86111999;-76,79067000;5,45213200
1,86367999;-76,79067000;5,45213200
1,86623999;-76,79067000;5,45213200
1,86879999;-79,53734000;5,45213200
1,87135999;-75,87511000;5,45213200
